"Ruteflyvninger";"2012M12";899;127;772
"Ruteflyvninger";"2013M01";849;129;720
"Ruteflyvninger";"2013M02";866;127;739
"Ruteflyvninger";"2013M03";1041;136;905
"Ruteflyvninger";"2013M04";1089;151;939
"Ruteflyvninger";"2013M05";1195;162;1033
"Ruteflyvninger";"2013M06";1303;161;1142
"Ruteflyvninger";"2013M07";1303;128;1175
"Ruteflyvninger";"2013M08";1166;146;1020
"Ruteflyvninger";"2013M09";1240;167;1072
"Ruteflyvninger";"2013M10";1236;168;1068
"Ruteflyvninger";"2013M11";1003;161;842
"Ruteflyvninger";"2013M12";952;134;818
"Ruteflyvninger";"2014M01";886;131;755
"Ruteflyvninger";"2014M02";903;130;773
"Ruteflyvninger";"2014M03";1081;159;922
"Ruteflyvninger";"2014M04";1229;150;1079
"Ruteflyvninger";"2014M05";1292;168;1124
"Ruteflyvninger";"2014M06";1402;170;1232
"Ruteflyvninger";"2014M07";1399;131;1269
"Ruteflyvninger";"2014M08";1250;151;1099
"Ruteflyvninger";"2014M09";1316;171;1144
"Ruteflyvninger";"2014M10";1303;169;1134
"Ruteflyvninger";"2014M11";1018;151;866
"Ruteflyvninger";"2014M12";979;128;851
"Ruteflyvninger";"2015M01";892;123;770
"Ruteflyvninger";"2015M02";912;125;787
"Ruteflyvninger";"2015M03";1147;151;996
"Ruteflyvninger";"2015M04";1157;142;1016
"Ruteflyvninger";"2015M05";1272;153;1119
"Ruteflyvninger";"2015M06";1423;169;1254
"Ruteflyvninger";"2015M07";1470;128;1342
"Ruteflyvninger";"2015M08";1336;151;1185
"Ruteflyvninger";"2015M09";1392;167;1225
"Ruteflyvninger";"2015M10";1376;164;1212
"Ruteflyvninger";"2015M11";1143;162;981
"Ruteflyvninger";"2015M12";1091;139;952
"Ruteflyvninger";"2016M01";998;128;869
"Ruteflyvninger";"2016M02";1063;133;930
"Ruteflyvninger";"2016M03";1242;154;1088
"Ruteflyvninger";"2016M04";1277;155;1122
"Ruteflyvninger";"2016M05";1410;171;1239
"Ruteflyvninger";"2016M06";1557;177;1379
"Ruteflyvninger";"2016M07";1593;135;1458
"Ruteflyvninger";"2016M08";1423;158;1265
"Ruteflyvninger";"2016M09";1499;175;1324
"Ruteflyvninger";"2016M10";1485;169;1316
"Ruteflyvninger";"2016M11";1207;168;1039
"Ruteflyvninger";"2016M12";1176;144;1031
"Ruteflyvninger";"2017M01";1077;138;938
"Ruteflyvninger";"2017M02";1080;129;951
"Ruteflyvninger";"2017M03";1256;162;1094
"Ruteflyvninger";"2017M04";1342;142;1200
"Ruteflyvninger";"2017M05";1427;166;1261
